channel_name,channel_id,channel_url
スタビジ【誰でもAIデータサイエンス】byウマたん,UC0J7Yk_O3g1-x-xD7xxAE8Q,http://www.youtube.com/channel/UC0J7Yk_O3g1-x-xD7xxAE8Q
AIBIS  -AI画像生成ガイド-,UC62eiiijVgSCYcErmIKzYfQ,http://www.youtube.com/channel/UC62eiiijVgSCYcErmIKzYfQ
ガーリィレコードチャンネル,UC6VjNLslXbb6Stl0I2MkQWA,http://www.youtube.com/channel/UC6VjNLslXbb6Stl0I2MkQWA
チャエン【AI研究所】〜仕事で使える最新のAI情報を発信〜 Byデジライズ,UC9buL3Iph_f7AZxdzmiBL8Q,http://www.youtube.com/channel/UC9buL3Iph_f7AZxdzmiBL8Q
生成AIエンジニア塾,UCF7P4f0l_gh_DibDxzxr7ig,http://www.youtube.com/channel/UCF7P4f0l_gh_DibDxzxr7ig
キノコード / プログラミング学習チャンネル,UCGlgXjYVoHLD86TQQ799WIw,http://www.youtube.com/channel/UCGlgXjYVoHLD86TQQ799WIw
NVIDIA,UCHuiy8bXnmK5nisYHUd1J5g,http://www.youtube.com/channel/UCHuiy8bXnmK5nisYHUd1J5g
TECH WORLD,UCISDrqLMNq3w9AZ4otdoRuA,http://www.youtube.com/channel/UCISDrqLMNq3w9AZ4otdoRuA
AI Search,UCIgnGlGkVRhd4qNFcEwLL4A,http://www.youtube.com/channel/UCIgnGlGkVRhd4qNFcEwLL4A
超知能×近未来社会(AI経済学・AI政治学・AI社会学),UCKaQevFzchUw5TzqjL_tBRQ,http://www.youtube.com/channel/UCKaQevFzchUw5TzqjL_tBRQ
AI FREAK - 最新のAIツールをご紹介,UCLapF_KiSMKFWcVdXytOLgA,http://www.youtube.com/channel/UCLapF_KiSMKFWcVdXytOLgA
サクッと深掘りAIニュース(Shinano Matsumoto),UCNGl42gLlwmjHGUnpytYr0Q,http://www.youtube.com/channel/UCNGl42gLlwmjHGUnpytYr0Q
プログラミングチュートリアル,UCNTxclE0N4qsUuirssL_D8w,http://www.youtube.com/channel/UCNTxclE0N4qsUuirssL_D8w
AI Copium,UCOFl0wDeBMSBbK3jNJQHHFg,http://www.youtube.com/channel/UCOFl0wDeBMSBbK3jNJQHHFg
AIイノベーションカレッジ,UCRAcb9n7cEsJHL6S0Ootjzg,http://www.youtube.com/channel/UCRAcb9n7cEsJHL6S0Ootjzg
ウズウズカレッジ l デジタル（IT・DX）分野のリスキリング就職,UCRDj3fsO4eEwh1yHgRoRiww,http://www.youtube.com/channel/UCRDj3fsO4eEwh1yHgRoRiww
